time	clk	uut_out_1	uut_out_15	uut_out2
3820us	1	0	0	0
3830us	0	0	0	0
3840us	1	0	0	0
3850us	0	0	0	0
3860us	1	0	0	0
3870us	0	0	0	0
3880us	1	0	0	0
3890us	0	0	0	0
3900us	1	0	0	0
3910us	0	0	0	0
3920us	1	0	0	0
3930us	0	0	0	0
3940us	1	0	0	0
3950us	0	0	0	0
3960us	1	0	0	0
3970us	0	0	0	0
3980us	1	0	0	0
3990us	0	0	0	0
4000us	1	0	0	0
4010us	0	0	0	0
4020us	1	0	0	0
4030us	0	0	0	0
4040us	1	0	0	0
4050us	0	0	0	0
4060us	1	0	0	0
4070us	0	0	0	0
4080us	1	0	0	0
4090us	0	0	0	0
4100us	1	0	0	0
4110us	0	0	0	0
4120us	1	0	0	0
4130us	0	0	0	0
4140us	1	0	0	0
4150us	0	0	0	0
4160us	1	0	0	0
4170us	0	0	0	0
4180us	1	0	0	0
4190us	0	0	0	0
4200us	1	0	0	0
4210us	0	0	0	0
4220us	1	0	0	0
4230us	0	0	0	0
4240us	1	0	0	0
4250us	0	0	0	0
4260us	1	0	0	0
4270us	0	0	0	0
4280us	1	0	0	0
4290us	0	0	0	0
4300us	1	0	0	0
4310us	0	0	0	0
4320us	1	0	0	0
4330us	0	0	0	0
4340us	1	0	0	0
4350us	0	0	0	0
4360us	1	0	0	0
4370us	0	0	0	0
4380us	1	0	0	0
4390us	0	0	0	0
4400us	1	0	0	0
4410us	0	0	0	0
4420us	1	0	0	0
4430us	0	0	0	0
4440us	1	0	0	0
4450us	0	0	0	0
4460us	1	0	0	0
4470us	0	0	0	0
4480us	1	0	0	0
4490us	0	0	0	0
4500us	1	0	0	0
4510us	0	0	0	0
4520us	1	0	0	0
4530us	0	0	0	0
4540us	1	0	0	0
4550us	0	0	0	0
4560us	1	0	0	0
4570us	0	0	0	0
4580us	1	0	0	0
4590us	0	0	0	0
4600us	1	0	0	0
4610us	0	0	0	0
4620us	1	0	0	0
4630us	0	0	0	0
4640us	1	0	0	0
4650us	0	0	0	0
4660us	1	0	0	0
4670us	0	0	0	0
4680us	1	0	0	0
4690us	0	0	0	0
4700us	1	0	0	0
4710us	0	0	0	0
4720us	1	0	0	0
4730us	0	0	0	0
4740us	1	0	0	0
4750us	0	0	0	0
4760us	1	0	0	0
4770us	0	0	0	0
4780us	1	0	0	0
4790us	0	0	0	0
4800us	1	0	0	0
4810us	0	0	0	0
4820us	1	0	0	0
4830us	0	0	0	0
4840us	1	0	0	0
4850us	0	0	0	0
4860us	1	0	0	0
4870us	0	0	0	0
4880us	1	0	0	0
4890us	0	0	0	0
4900us	1	0	0	0
4910us	0	0	0	0
4920us	1	0	0	0
4930us	0	0	0	0
4940us	1	0	0	0
4950us	0	0	0	0
4960us	1	0	0	0
4970us	0	0	0	0
4980us	1	0	0	0
4990us	0	0	0	0
5000us	1	0	0	0
5010us	0	0	0	0
5020us	1	0	0	0
5030us	0	0	0	0
5040us	1	0	0	0
5050us	0	0	0	0
5060us	1	0	0	0
5070us	0	0	0	0
5080us	1	0	0	0
5090us	0	0	0	0
5100us	1	0	0	0
5110us	0	0	0	0
5120us	1	0	0	0
5130us	0	0	0	0
5140us	1	0	0	0
5150us	0	0	0	0
5160us	1	0	0	0
5170us	0	0	0	0
5180us	1	0	0	0
5190us	0	0	0	0
5200us	1	0	0	0
5210us	0	0	0	0
5220us	1	0	0	0
5230us	0	0	0	0
5240us	1	0	0	0
5250us	0	0	0	0
5260us	1	0	0	0
5270us	0	0	0	0
5280us	1	0	0	0
5290us	0	0	0	0
5300us	1	0	0	0
5310us	0	0	0	0
5320us	1	0	0	0
5330us	0	0	0	0
5340us	1	0	0	0
5350us	0	0	0	0
5360us	1	0	0	0
5370us	0	0	0	0
5380us	1	0	0	0
5390us	0	0	0	0
5400us	1	0	0	0
5410us	0	0	0	0
5420us	1	0	0	0
5430us	0	0	0	0
5440us	1	0	0	0
5450us	0	0	0	0
5460us	1	0	0	0
5470us	0	0	0	0
5480us	1	0	0	0
5490us	0	0	0	0
5500us	1	0	0	0
5510us	0	0	0	0
5520us	1	0	0	0
5530us	0	0	0	0
5540us	1	0	0	0
5550us	0	0	0	0
5560us	1	0	0	0
5570us	0	0	0	0
5580us	1	0	0	0
5590us	0	0	0	0
5600us	1	0	0	0
5610us	0	0	0	0
5620us	1	0	0	0
5630us	0	0	0	0
5640us	1	0	0	0
5650us	0	0	0	0
5660us	1	0	0	0
5670us	0	0	0	0
5680us	1	0	0	0
5690us	0	0	0	0
5700us	1	0	0	0
5710us	0	0	0	0
5720us	1	0	0	0
5730us	0	0	0	0
5740us	1	0	0	0
5750us	0	0	0	0
5760us	1	0	0	0
5770us	0	0	0	0
5780us	1	0	0	0
5790us	0	0	0	0
5800us	1	0	0	0
5810us	0	0	0	0
5820us	1	0	0	0
5830us	0	0	0	0
5840us	1	0	0	0
5850us	0	0	0	0
5860us	1	0	0	0
5870us	0	0	0	0
5880us	1	0	0	0
5890us	0	0	0	0
5900us	1	0	0	0
5910us	0	0	0	0
5920us	1	0	0	0
5930us	0	0	0	0
5940us	1	0	0	0
5950us	0	0	0	0
5960us	1	0	0	0
5970us	0	0	0	0
5980us	1	0	0	0
5990us	0	0	0	0
6000us	1	0	0	0
6010us	0	0	0	0
6020us	1	0	0	0
6030us	0	0	0	0
6040us	1	0	0	0
6050us	0	0	0	0
6060us	1	0	0	0
6070us	0	0	0	0
6080us	1	0	0	0
6090us	0	0	0	0
6100us	1	0	0	0
6110us	0	0	0	0
6120us	1	0	0	0
6130us	0	0	0	0
6140us	1	0	0	0
6150us	0	0	0	0
6160us	1	0	0	0
6170us	0	0	0	0
6180us	1	0	0	0
6190us	0	0	0	0
6200us	1	0	0	0
6210us	0	0	0	0
6220us	1	0	0	0
6230us	0	0	0	0
6240us	1	0	0	0
6250us	0	0	0	0
6260us	1	0	0	0
6270us	0	0	0	0
6280us	1	0	0	0
6290us	0	0	0	0
6300us	1	0	0	0
6310us	0	0	0	0
6320us	1	0	0	0
6330us	0	0	0	0
6340us	1	0	0	0
6350us	0	0	0	0
6360us	1	0	0	0
6370us	0	0	0	0
6380us	1	0	0	0
6390us	0	0	0	0
6400us	1	0	0	0
6410us	0	0	0	0
6420us	1	0	0	0
6430us	0	0	0	0
6440us	1	0	0	0
6450us	0	0	0	0
6460us	1	0	0	0
6470us	0	0	0	0
6480us	1	0	0	0
6490us	0	0	0	0
6500us	1	0	0	0
6510us	0	0	0	0
6520us	1	0	0	0
6530us	0	0	0	0
6540us	1	0	0	0
6550us	0	0	0	0
6560us	1	0	0	0
6570us	0	0	0	0
6580us	1	0	0	0
6590us	0	0	0	0
6600us	1	0	0	0
6610us	0	0	0	0
6620us	1	0	0	0
6630us	0	0	0	0
6640us	1	0	0	0
6650us	0	0	0	0
6660us	1	0	0	0
6670us	0	0	0	0
6680us	1	0	0	0
6690us	0	0	0	0
6700us	1	0	0	0
6710us	0	0	0	0
6720us	1	0	0	0
6730us	0	0	0	0
6740us	1	0	0	0
6750us	0	0	0	0
6760us	1	0	0	0
6770us	0	0	0	0
6780us	1	0	0	0
6790us	0	0	0	0
6800us	1	0	0	0
6810us	0	0	0	0
6820us	1	0	0	0
6830us	0	0	0	0
6840us	1	0	0	0
6850us	0	0	0	0
6860us	1	0	0	0
6870us	0	0	0	0
6880us	1	0	0	0
6890us	0	0	0	0
6900us	1	0	0	0
6910us	0	0	0	0
6920us	1	0	0	0
6930us	0	0	0	0
6940us	1	0	0	0
6950us	0	0	0	0
6960us	1	0	0	0
6970us	0	0	0	0
6980us	1	0	0	0
6990us	0	0	0	0
7000us	1	0	0	0
7010us	0	0	0	0
7020us	1	0	0	0
7030us	0	0	0	0
7040us	1	0	0	0
7050us	0	0	0	0
7060us	1	0	0	0
7070us	0	0	0	0
7080us	1	0	0	0
7090us	0	0	0	0
7100us	1	0	0	0
7110us	0	0	0	0
7120us	1	0	0	0
7130us	0	0	0	0
7140us	1	0	0	0
7150us	0	0	0	0
7160us	1	0	0	0
7170us	0	0	0	0
7180us	1	0	0	0
7190us	0	0	0	0
7200us	1	0	0	0
7210us	0	0	0	0
7220us	1	0	0	0
7230us	0	0	0	0
7240us	1	0	0	0
7250us	0	0	0	0
7260us	1	0	0	0
7270us	0	0	0	0
7280us	1	0	0	0
7290us	0	0	0	0
7300us	1	0	0	0
7310us	0	0	0	0
7320us	1	0	0	0
7330us	0	0	0	0
7340us	1	0	0	0
7350us	0	0	0	0
7360us	1	0	0	0
7370us	0	0	0	0
7380us	1	0	0	0
7390us	0	0	0	0
7400us	1	0	0	0
7410us	0	0	0	0
7420us	1	0	0	0
7430us	0	0	0	0
7440us	1	0	0	0
7450us	0	0	0	0
7460us	1	0	0	0
7470us	0	0	0	0
7480us	1	0	0	0
7490us	0	0	0	0
7500us	1	0	0	0
7510us	0	0	0	0
7520us	1	0	0	0
7530us	0	0	0	0
7540us	1	0	0	0
7550us	0	0	0	0
7560us	1	0	0	0
7570us	0	0	0	0
7580us	1	0	0	0
7590us	0	0	0	0
7600us	1	0	0	0
7610us	0	0	0	0
7620us	1	0	0	0
7630us	0	0	0	0
7640us	1	0	0	0
7650us	0	0	0	0
7660us	1	0	0	0
7670us	0	0	0	0
7680us	1	0	0	0
7690us	0	0	0	0
7700us	1	0	0	0
7710us	0	0	0	0
7720us	1	0	0	0
7730us	0	0	0	0
7740us	1	0	0	0
7750us	0	0	0	0
7760us	1	0	0	0
7770us	0	0	0	0
7780us	1	0	0	0
7790us	0	0	0	0
7800us	1	0	0	0
7810us	0	0	0	0
7820us	1	0	0	0
7830us	0	0	0	0
7840us	1	0	0	0
7850us	0	0	0	0
7860us	1	0	0	0
7870us	0	0	0	0
7880us	1	0	0	0
7890us	0	0	0	0
7900us	1	0	0	0
7910us	0	0	0	0
7920us	1	0	0	0
7930us	0	0	0	0
7940us	1	0	0	0
7950us	0	0	0	0
7960us	1	0	0	0
7970us	0	0	0	0
7980us	1	0	0	0
7990us	0	0	0	0
8000us	1	0	0	0
8010us	0	0	0	0
8020us	1	0	0	0
8030us	0	0	0	0
8040us	1	0	0	0
8050us	0	0	0	0
8060us	1	0	0	0
8070us	0	0	0	0
8080us	1	0	0	0
8090us	0	0	0	0
8100us	1	0	0	0
8110us	0	0	0	0
8120us	1	0	0	0
8130us	0	0	0	0
8140us	1	0	0	0
8150us	0	0	0	0
8160us	1	0	0	0
8170us	0	0	0	0
8180us	1	0	0	0
8190us	0	0	0	0
8200us	1	0	0	0
8210us	0	0	0	0
8220us	1	0	0	0
8230us	0	0	0	0
8240us	1	0	0	0
8250us	0	0	0	0
8260us	1	0	0	0
8270us	0	0	0	0
8280us	1	0	0	0
8290us	0	0	0	0
8300us	1	0	0	0
8310us	0	0	0	0
8320us	1	0	0	0
8330us	0	0	0	0
8340us	1	0	0	0
8350us	0	0	0	0
8360us	1	0	0	0
8370us	0	0	0	0
8380us	1	0	0	0
8390us	0	0	0	0
8400us	1	0	0	0
8410us	0	0	0	0
8420us	1	0	0	0
8430us	0	0	0	0
8440us	1	0	0	0
8450us	0	0	0	0
8460us	1	0	0	0
8470us	0	0	0	0
8480us	1	0	0	0
8490us	0	0	0	0
8500us	1	0	0	0
8510us	0	0	0	0
8520us	1	0	0	0
8530us	0	0	0	0
8540us	1	0	0	0
8550us	0	0	0	0
8560us	1	0	0	0
8570us	0	0	0	0
8580us	1	0	0	0
8590us	0	0	0	0
8600us	1	0	0	0
8610us	0	0	0	0
8620us	1	0	0	0
8630us	0	0	0	0
8640us	1	0	0	0
8650us	0	0	0	0
8660us	1	0	0	0
8670us	0	0	0	0
8680us	1	0	0	0
8690us	0	0	0	0
8700us	1	0	0	0
8710us	0	0	0	0
8720us	1	0	0	0
8730us	0	0	0	0
8740us	1	0	0	0
8750us	0	0	0	0
8760us	1	0	0	0
8770us	0	0	0	0
8780us	1	0	0	0
8790us	0	0	0	0
8800us	1	0	0	0
8810us	0	0	0	0
8820us	1	0	0	0
8830us	0	0	0	0
8840us	1	0	0	0
8850us	0	0	0	0
8860us	1	0	0	0
8870us	0	0	0	0
8880us	1	0	0	0
8890us	0	0	0	0
8900us	1	0	0	0
8910us	0	0	0	0
8920us	1	0	0	0
8930us	0	0	0	0
8940us	1	0	0	0
8950us	0	0	0	0
8960us	1	0	0	0
8970us	0	0	0	0
8980us	1	0	0	0
8990us	0	0	0	0
9000us	1	0	0	0
9010us	0	0	0	0
9020us	1	0	0	0
9030us	0	0	0	0
9040us	1	0	0	0
9050us	0	0	0	0
9060us	1	0	0	0
9070us	0	0	0	0
9080us	1	0	0	0
9090us	0	0	0	0
9100us	1	0	0	0
9110us	0	0	0	0
9120us	1	0	0	0
9130us	0	0	0	0
9140us	1	0	0	0
9150us	0	0	0	0
9160us	1	0	0	0
9170us	0	0	0	0
9180us	1	0	0	0
9190us	0	0	0	0
9200us	1	0	0	0
9210us	0	0	0	0
9220us	1	0	0	0
9230us	0	0	0	0
9240us	1	0	0	0
9250us	0	0	0	0
9260us	1	0	0	0
9270us	0	0	0	0
9280us	1	0	0	0
9290us	0	0	0	0
9300us	1	0	0	0
9310us	0	0	0	0
9320us	1	0	0	0
9330us	0	0	0	0
9340us	1	0	0	0
9350us	0	0	0	0
9360us	1	0	0	0
9370us	0	0	0	0
9380us	1	0	0	0
9390us	0	0	0	0
9400us	1	0	0	0
9410us	0	0	0	0
9420us	1	0	0	0
9430us	0	0	0	0
9440us	1	0	0	0
9450us	0	0	0	0
9460us	1	0	0	0
9470us	0	0	0	0
9480us	1	0	0	0
9490us	0	0	0	0
9500us	1	0	0	0
9510us	0	0	0	0
9520us	1	0	0	0
9530us	0	0	0	0
9540us	1	0	0	0
9550us	0	0	0	0
9560us	1	0	0	0
9570us	0	0	0	0
9580us	1	0	0	0
9590us	0	0	0	0
9600us	1	0	0	0
9610us	0	0	0	0
9620us	1	0	0	0
9630us	0	0	0	0
9640us	1	0	0	0
9650us	0	0	0	0
9660us	1	0	0	0
9670us	0	0	0	0
9680us	1	0	0	0
9690us	0	0	0	0
9700us	1	0	0	0
9710us	0	0	0	0
9720us	1	0	0	0
9730us	0	0	0	0
9740us	1	0	0	0
9750us	0	0	0	0
9760us	1	0	0	0
9770us	0	0	0	0
9780us	1	0	0	0
9790us	0	0	0	0
9800us	1	0	0	0
9810us	0	0	0	0
9820us	1	0	0	0
9830us	0	0	0	0
9840us	1	0	0	0
9850us	0	0	0	0
9860us	1	0	0	0
9870us	0	0	0	0
9880us	1	0	0	0
9890us	0	0	0	0
9900us	1	0	0	0
9910us	0	0	0	0
9920us	1	0	0	0
9930us	0	0	0	0
9940us	1	0	0	0
9950us	0	0	0	0
9960us	1	0	0	0
9970us	0	0	0	0
9980us	1	0	0	0
9990us	0	0	0	0
10000us	1	0	0	0
10010us	0	0	0	0
10020us	1	0	0	0
10030us	0	0	0	0
10040us	1	0	0	0
10050us	0	0	0	0
10060us	1	0	0	0
10070us	0	0	0	0
10080us	1	0	0	0
10090us	0	0	0	0
10100us	1	0	0	0
10110us	0	0	0	0
10120us	1	0	0	0
10130us	0	0	0	0
10140us	1	0	0	0
10150us	0	0	0	0
10160us	1	0	0	0
10170us	0	0	0	0
10180us	1	0	0	0
10190us	0	0	0	0
10200us	1	0	0	0
10210us	0	0	0	0
10220us	1	0	0	0
10230us	0	0	0	0
10240us	1	0	0	0
10250us	0	0	0	0
10260us	1	0	0	0
10270us	0	0	0	0
10280us	1	0	0	0
10290us	0	0	0	0
10300us	1	0	0	0
10310us	0	0	0	0
10320us	1	0	0	0
10330us	0	0	0	0
10340us	1	0	0	0
10350us	0	0	0	0
10360us	1	0	0	0
10370us	0	0	0	0
10380us	1	0	0	0
10390us	0	0	0	0
10400us	1	0	0	0
10410us	0	0	0	0
10420us	1	0	0	0
10430us	0	0	0	0
10440us	1	0	0	0
10450us	0	0	0	0
10460us	1	0	0	0
10470us	0	0	0	0
10480us	1	0	0	0
10490us	0	0	0	0
10500us	1	0	0	0
10510us	0	0	0	0
10520us	1	0	0	0
10530us	0	0	0	0
10540us	1	0	0	0
10550us	0	0	0	0
10560us	1	0	0	0
10570us	0	0	0	0
10580us	1	0	0	0
10590us	0	0	0	0
10600us	1	0	0	0
10610us	0	0	0	0
10620us	1	0	0	0
10630us	0	0	0	0
10640us	1	0	0	0
10650us	0	0	0	0
10660us	1	0	0	0
10670us	0	0	0	0
10680us	1	0	0	0
10690us	0	0	0	0
10700us	1	0	0	0
10710us	0	0	0	0
10720us	1	0	0	0
10730us	0	0	0	0
10740us	1	0	0	0
10750us	0	0	0	0
10760us	1	0	0	0
10770us	0	0	0	0
10780us	1	0	0	0
10790us	0	0	0	0
10800us	1	0	0	0
10810us	0	0	0	0
10820us	1	0	0	0
10830us	0	0	0	0
10840us	1	0	0	0
10850us	0	0	0	0
10860us	1	0	0	0
10870us	0	0	0	0
10880us	1	0	0	0
10890us	0	0	0	0
10900us	1	0	0	0
10910us	0	0	0	0
10920us	1	0	0	0
10930us	0	0	0	0
10940us	1	0	0	0
10950us	0	0	0	0
10960us	1	0	0	0
10970us	0	0	0	0
10980us	1	0	0	0
10990us	0	0	0	0
11000us	1	0	0	0
11010us	0	0	0	0
11020us	1	0	0	0
11030us	0	0	0	0
11040us	1	0	0	0
11050us	0	0	0	0
11060us	1	0	0	0
11070us	0	0	0	0
11080us	1	0	0	0
11090us	0	0	0	0
11100us	1	0	0	0
11110us	0	0	0	0
11120us	1	0	0	0
11130us	0	0	0	0
11140us	1	0	0	0
11150us	0	0	0	0
11160us	1	0	0	0
11170us	0	0	0	0
11180us	1	0	0	0
11190us	0	0	0	0
11200us	1	0	0	0
11210us	0	0	0	0
11220us	1	0	0	0
11230us	0	0	0	0
11240us	1	0	0	0
11250us	0	0	0	0
11260us	1	0	0	0
11270us	0	0	0	0
11280us	1	0	0	0
11290us	0	0	0	0
11300us	1	0	0	0
11310us	0	0	0	0
11320us	1	0	0	0
11330us	0	0	0	0
11340us	1	0	0	0
11350us	0	0	0	0
11360us	1	0	0	0
11370us	0	0	0	0
11380us	1	0	0	0
11390us	0	0	0	0
11400us	1	0	0	0
11410us	0	0	0	0
11420us	1	0	0	0
11430us	0	0	0	0
11440us	1	0	0	0
11450us	0	0	0	0
11460us	1	0	0	0
11470us	0	0	0	0
11480us	1	0	0	0
11490us	0	0	0	0
11500us	1	0	0	0
11510us	0	0	0	0
11520us	1	0	0	0
11530us	0	0	0	0
11540us	1	0	0	0
11550us	0	0	0	0
11560us	1	0	0	0
11570us	0	0	0	0
11580us	1	0	0	0
11590us	0	0	0	0
11600us	1	0	0	0
11610us	0	0	0	0
11620us	1	0	0	0
11630us	0	0	0	0
11640us	1	0	0	0
11650us	0	0	0	0
11660us	1	0	0	0
11670us	0	0	0	0
11680us	1	0	0	0
11690us	0	0	0	0
